_id|source_title|source_filename|source_url|section_title|passage_text
1|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|Turn your hopes, wants, and dreams into reality by setting and achieving goals. At a glance This module can help you create a plan to fulfill your dreams by learning how to set, adjust, and reach your short-term and long-term goals. Revising your goals. Introduction Everyone has a different idea of the future they want to build. What do you want to accomplish in the near future? What do you want for yourself and your family in the long term? These ideas of your future are your hopes, wants, and dreams. But they don't just happen on their own. Accomplishing your dreams means thinking about the money you need to help make them come true.
2|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|It's also important to think about your values, the things that are meaningful to you and your family. Your values help shape how you prioritize what you do with your.  time, energy, and even money. If your goals support your values, you'll be more likely to prioritize them, which gives you a greater chance of accomplishing them. Setting goals along the way is a good strategy to help you achieve your dreams. Some goals may take a few weeks or months to reach, like saving money to buy gifts for the holidays or buying a new mattress. These are short-term goals. Others may take many months or even years to reach, like sending your child to college or paying off a large debt. These are long-term goals.
3|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|"Hopes and dreams can be turned into goals While hopes and dreams can motivate us, they're often open-ended or vague. That makes it hard to build a plan to reach them. For example, most people say they want to make a better life for their children. But you have to think about the specifics of what ""a better life"" means for you, in order to build a plan to get there. That plan can be made up of one or many smaller goals. When you set goals, you can: Work toward making your future better; Prioritize how you spend your money so that it goes toward things that really matter to you Measure and track your progress toward getting the things you want out of life; Take pride in bettering your life and the life of your family."
4|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|"Creating effective goals It's great to set goals. It's even better to set SMART goals. Using the SMART goal method brings structure to your goal setting. This makes it much more likely that you'll be able to achieve your goals. All SMART goals have five characteristics: they are (S)pecific, (M)easurable, (A)chievable, (R)elevant, and (T)ime bound. Each part contributes to why this method is effective in goal setting. A specific goal has a much greater chance of being met than a general one because it provides something defined to reach for. For instance, it's much easier to plan a trip to Boston than it is to plan a trip ""to the east coast."""
5|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|"You should be able to track your progress toward meeting the goal. Otherwise, it will be difficult to determine if you are going to achieve it. For instance, ""Save $5 a week"" is measurable. ""Save more money"" is not. You might want to get out of credit card debt tomorrow or become a millionaire within a year, but for most of us, those are unrealistic goals. That doesn't mean that your goals should be easy. Your goal may be a stretch for you, but it should not be extreme or impossible. If the goal feels like too much of a stretch, try breaking it down into smaller, more achievable goals."
6|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|Set goals that matter to you and are a priority in your life. This makes it more likely you will prioritize the time and effort it takes to achieve them. Goals should have a clearly defined time frame, including a target or deadline date. This helps ensure they are measurable and that steps are taken to reach the goal by the target date. Setting goals for life events and large purchases People often put off planning for large purchases or significant life events because they're struggling just to make ends meet today. Or don't think they have enough money to save.
7|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|But if you don't plan ahead for how you're going to meet these goals, you won't have the money to achieve them. This can add even more stress and uncertainty at times when a large purchase is necessary or life takes an unexpected turn. Planning in advance for large purchases not only helps you better achieve your goals, but helps remove anxiety around the purchase. Large purchases may include things like: Training or educational expenses; Tools or equipment you need for your job A car or home. There are also goals around things that happen in your life. Some of these life events are planned, while others happen without much warning. Creating goals around these events in advance helps you better achieve what you want and reduces stress when difficult life events do occur. Since many of these events happen later in life, it can give you more time to plan for them. This also means you can save smaller amounts over a longer period of time.
8|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|Here are just a few examples of the types of life events people experience that may require saving for in advance: Moving in with a partner, getting married, getting separated, getting divorced, or becoming widowed Birth or adoption of a child; Illness or short-or long-term disability Loss of a job (covering the gap unemployment benefits don't cover); Celebrating a landmark birthday or anniversary, accomplishment, or rite of passage Death of a family member; Retirement Your own final expenses. If you're being pressured to make a big-ticket purchase on-the-spot or salespeople are telling you conflicting things, that's a sign that something's not quite right with the deal.
9|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|"Learn more about warning signs for scams in Module 9: Protecting your Money. What's inside This module has three tools and a handout to help you create a plan for reaching your short-term and long-term goals. It also teaches you how to readjust your goals and reevaluate the plan to achieve them as needed. Here are suggestions for how to make the most of the time you have. If you have MINUTES; Use ""Setting SMART goals"" to identify goals that will help you plan for and attain the things that matter most to you. Complete ""Setting SMART goals""; Use ""Putting goals into action"" to create a plan to achieve your goals."
10|YOUR MONEY, YOUR GOALS: A financial empowerment toolkit|cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|https://www.consumerfinance.gov/documents/8956/cfpb_your-money-your-goals_financial-empowerment_toolkit.pdf|MODULE 1: Setting Goals|"Use ""Planning for life events and large purchases"" to help you develop a plan to pay for things like a big celebration, a car, or your child's college tuition; Follow up to see if progress is being made toward your goals Use the ""Revising goals"" handout to update or revise goals as needed. Setting SMART goals Setting goals is the first step toward achieving your dreams. This tool teaches you how to effectively set goals that are SMARTmeaning they are (S)pecific, (M)easurable, (A)chievable, (R)elevant, and (T)ime bound. SMART goals provide an easy-to-follow structure for creating goals. This helps you really break down what you want into a format that makes it simpler to plan for, track, and ultimately achieve your goals."
